Group	Degree
Lymphoid_OA	92
Lymphoid_OA	348
Lymphoid_OA	9
Lymphoid_OA	238
Lymphoid_OA	4
Lymphoid_OA	8
Lymphoid_OA	46
Lymphoid_OA	198
Lymphoid_OA	60
Lymphoid_OA	72
Lymphoid_OA	14
Lymphoid_OA	303
Lymphoid_OA	3
Lymphoid_OA	460
Lymphoid_OA	22
Lymphoid_OA	135
Lymphoid_OA	317
Lymphoid_OA	14
Lymphoid_OA	12
Lymphoid_OA	10
Lymphoid_OA	6
Lymphoid_OA	110
Lymphoid_OA	197
Lymphoid_OA	65
Lymphoid_OA	18
Lymphoid_OA	72
Lymphoid_OA	176
Lymphoid_OA	344
Lymphoid_OA	18
Lymphoid_OA	269
Lymphoid_OA	16
Lymphoid_OA	1
Lymphoid_OA	15
Lymphoid_OA	7
Lymphoid_OA	4
Lymphoid_OA	70
Lymphoid_OA	5
Lymphoid_OA	18
Lymphoid_OA	48
Lymphoid_OA	103
Lymphoid_OA	2
Lymphoid_OA	10
Lymphoid_OA	13
Lymphoid_OA	18
Lymphoid_OA	5
Lymphoid_OA	7
Lymphoid_OA	34
Lymphoid_OA	7
Lymphoid_OA	5
Lymphoid_OA	62
Lymphoid_OA	34
Lymphoid_OA	70
Lymphoid_OA	8
Lymphoid_OA	7
Lymphoid_OA	2
Lymphoid_OA	5
Lymphoid_OA	6
Lymphoid_OA	12
Lymphoid_OA	7
Lymphoid_OA	50
Lymphoid_OA	11
Lymphoid_OA	41
Lymphoid_OA	30
Lymphoid_OA	159
Lymphoid_OA	32
Lymphoid_OA	30
Lymphoid_OA	28
Lymphoid_OA	34
Lymphoid_OA	33
Lymphoid_OA	2
Lymphoid_OA	17
Lymphoid_OA	8
Lymphoid_OA	3
Lymphoid_OA	5
Lymphoid_OA	27
Lymphoid_OA	29
Lymphoid_OA	69
Lymphoid_OA	9
Lymphoid_OA	9
Lymphoid_OA	29
Lymphoid_OA	3
Lymphoid_OA	3
Lymphoid_OA	9
Lymphoid_OA	19
Lymphoid_OA	166
Lymphoid_OA	20
Lymphoid_OA	4
Lymphoid_OA	3
Lymphoid_OA	2
Lymphoid_OA	8
Lymphoid_OA	10
Lymphoid_OA	58
Lymphoid_OA	9
Lymphoid_OA	49
Lymphoid_OA	2
Lymphoid_OA	58
Lymphoid_OA	11
Lymphoid_OA	36
Lymphoid_OA	18
